t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
799279666.995,799279676.995,799279671.9593953,799279667.06,799279676.993,25.36641600887231,1.7454653351799252,5.225481697827696e-15,3.595658590470646e-16,16.569352223502957,0.07225136133016008,0.07740434473956981,25.60177140689166,1.7379737735992775,5.273964909819682e-15,3.5802259736145115e-16,16.559324961171257,0.0713111172168972,0.07632614502521662,26.421604530769148,1.7116217666040132,5.442850533338445e-15,3.525940839204267e-16,16.525102030231068,0.06815087920085361,0.07271686359179697,205.0,238.28833039194018,6.0,5.169413854364444,9.018692642774313,9.516420959170906,7.393822962616558,0.860489920604777,561.0842895507812,349.632080078125,168.77522240345692,244.27281176772104,55.26858482860375,0.0
799279676.995,799279686.995,799279681.8624284,799279677.031,799279686.935,27.059621124371787,1.7876227435002727,5.574281951620588e-15,3.682502851610562e-16,16.499195721188798,0.06945653613537317,0.07420531612950398,27.12120073386487,1.7857120803905768,5.586967351176163e-15,3.678566885604588e-16,16.49672771727165,0.06923199873771324,0.073949070026746,27.941033857742358,1.760077072591596,5.7558529746949255e-15,3.6257587695386876e-16,16.46439382103726,0.06632555560054598,0.07064239438478381,217.0,252.0122035640768,5.0,4.31843192732392,9.019430163076988,7.94984059348267,7.394427606190223,0.8611958121805239,558.69140625,351.01129150390625,166.08087179960788,244.27280692628443,55.268615990278086,0.0
799279686.995,799279696.995,799279691.9505025,799279686.999,799279696.831,23.593101593886452,1.6880714093172884,4.860178928340609e-15,3.477427103193614e-16,16.648037405462336,0.07503045696052979,0.08060295463453215,23.836598766280158,1.6800616519235965,4.9103393458537125e-15,3.460927002962609e-16,16.636889284495734,0.07394886940965151,0.07935600379795105,24.65643189015764,1.6528081830091017,5.079224969372474e-15,3.404784856998749e-16,16.600174428285676,0.07044518810496214,0.07533493470761243,191.0,222.54382519550484,6.0,5.213401415073784,9.025791979428293,9.597398059567649,7.399643233963048,0.8584119483913516,557.5557250976562,353.34234619140625,164.3190286301949,244.2725422310622,55.26876508129135,0.0
799279696.995,799279706.995,799279702.1772345,799279696.998,799279706.988,26.284366475229795,1.7523221872374466,5.414579493897338e-15,3.6097837057091397e-16,16.5307562154961,0.07007301293561241,0.0749094343709622,26.17651306843627,1.7557292924304224,5.392361692097872e-15,3.61680234240667e-16,16.535220514019578,0.07048501813606833,0.07538049009790271,26.99634619231376,1.729662264402087,5.561247315616634e-15,3.563104264668299e-16,16.501737528111374,0.06742573809174601,0.07189185287338873,209.0,243.60564971280897,4.0,3.4899374783468575,9.023652607557942,6.424657630593079,7.397889306039443,0.8581040236156875,557.5728149414062,355.9919128417969,163.60288427739488,244.27269409487283,55.268554530232585,0.0
799279706.995,799279716.995,799279711.8842372,799279707.001,799279716.978,25.449714049291188,1.8246930350047363,5.242641094153985e-15,3.758867652109757e-16,16.565792732484322,0.07518102817721939,0.08077675880744195,26.927161285996785,1.7792622236744022,5.5469952249153376e-15,3.6652801807692684e-16,16.504523570872365,0.06947129029119026,0.07422215781005903,27.74699440987427,1.7535450392016412,5.715880848434099e-15,3.612302780755381e-16,16.47196013332627,0.06653502730684124,0.0708800794979112,215.0,250.37908224503306,13.0,11.260657620149978,9.023646977631968,20.72984698254882,7.397884690439644,0.8590028369363701,559.1248779296875,358.2881774902344,164.50107268107445,244.27268716085217,55.26863160899079,0.0
799279716.995,799279726.995,799279721.8065969,799279717.027,799279726.855,25.45691081515112,1.702726151114625,5.2441236279211305e-15,3.5076158712961276e-16,16.56548574731985,0.07029564876726013,0.07516393183994552,24.992583488766204,1.717766432418399,5.148472198685838e-15,3.538598850781902e-16,16.58547212109616,0.07217106502119108,0.07731218879089141,25.812416612643688,1.6911203570644175,5.317357822204599e-15,3.4837079355527e-16,16.55042833497844,0.0688997047951787,0.07357005834976249,201.0,232.97445107017114,2.0,1.7429863107288779,9.025673750982826,3.208679344750889,7.399546306367269,0.8628774492826028,561.6574096679688,359.62078857421875,166.62412435156386,244.27253092651355,55.26863688729721,0.0
799279726.995,799279736.995,799279732.2444696,799279727.102,799279736.91,26.67856330733474,1.774995403042254,5.495784041310956e-15,3.656490530267043e-16,16.514593904326578,0.0699353835818215,0.07475216466682255,26.73752513868096,1.773154238272501,5.507930178568278e-15,3.652697730841352e-16,16.512196985238948,0.06971590067557898,0.07450144887972598,27.55735826255845,1.7473528031067243,5.67681580208704e-15,3.599546774399852e-16,16.479406044104724,0.06674965346742212,0.07112371487563607,213.0,248.72186336615857,5.0,4.308554522556752,9.02560619187113,7.931657189252201,7.399490919169682,0.8565891537799591,564.7052001953125,359.5172119140625,169.60736747732656,244.27257622448974,55.26865791363667,0.0
799279736.995,799279746.995,799279742.0866308,799279737.056,799279746.957,26.469180730628995,1.758373764207302,5.452651230509573e-15,3.622249954267042e-16,16.523148751740333,0.06983188800356643,0.07463392792104528,26.359222211684767,1.7618367505991213,5.429999775607062e-15,3.6293837062341896e-16,16.527668521818452,0.07024769931816621,0.07510911084668237,27.17905533556225,1.7358510181820173,5.5988853991258236e-15,3.5758530974549554e-16,16.49441410536663,0.0672185806144654,0.07165638095395721,214.0,245.1567292973038,4.0,3.478233698775836,9.020060714786144,6.403112036382789,7.394944553367706,0.8729962172955195,567.0216674804688,358.2409362792969,172.16287872472978,244.2727396624862,55.268625605684186,0.0
799279746.995,799279756.995,799279751.9748806,799279747.062,799279756.929,27.640568669232582,1.8157679150563533,5.6939571458619115e-15,3.7404819050160876e-16,16.47613256538559,0.06907939957483933,0.07377498587249676,27.874396127747943,1.8086175924735075,5.742125602316076e-15,3.725752240495425e-16,16.46698633104579,0.06825631309699531,0.07283691643500134,28.694229251625426,1.7833210560486428,5.911011225834838e-15,3.673641375460204e-16,16.435513590584204,0.0654637326029821,0.06966552271062199,226.0,258.8988090834159,6.0,5.164209828372589,9.022678630364334,9.506840820413174,7.397090807274221,0.8731084051040057,568.5288696289062,355.9626770019531,174.18744419512902,244.27276978027226,55.268585564685075,0.0
799279756.995,799279766.995,799279762.0418738,799279757.072,799279766.991,27.03461060766706,1.7531785922724104,5.569129785179414e-15,3.6115479000811653e-16,16.500199703482345,0.06822048819113746,0.0727961214267161,26.564929304159644,1.7679610116488003,5.472375436656886e-15,3.6419996839965286e-16,16.51922833879406,0.06995553967146506,0.07477519445469483,27.384762428037128,1.7420765469495798,5.641261060175648e-15,3.588677686716134e-16,16.486227555921435,0.0669609430646716,0.07136366319366871,214.0,247.10611183973822,2.0,1.7163211556672808,9.023489339704678,3.159591218387494,7.3977554536452725,0.8662941249031652,568.5813598632812,353.3865966796875,174.9070732201967,244.27301058427418,55.26867001335271,0.0
